City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hawaiian paradise park,19.5933,-154.9731,21.73,97,100,2.57,US,1683195775
1,ushuaia,-54.8,-68.3,2.81,93,100,2.57,AR,1683195775
2,adamstown,-25.066,-130.1015,24.1,72,98,5.4,PN,1683195775
3,sitka,57.0531,-135.33,3.94,87,20,2.06,US,1683195775
4,saldanha,-33.0117,17.9442,21.03,69,76,6.67,ZA,1683195775
5,bethel,41.3712,-73.414,8.53,84,100,2.96,US,1683195776
6,saipan,15.1355,145.701,27.39,100,20,6.17,MP,1683195776
7,rio grande,-32.035,-52.0986,18.72,89,100,6.34,BR,1683195777
8,papao,-17.75,-149.55,26.82,81,49,11.27,PF,1683195777
9,ilulissat,69.2167,-51.1,0.01,100,100,4.12,GL,1683195778
10,yellowknife,62.456,-114.3525,6.98,70,20,8.05,CA,1683195681
11,changli,39.7042,119.1506,13.91,92,100,7.8,CN,1683195778
12,lumding railway colony,25.749,93.17,26.39,67,100,0.97,IN,1683195779
13,nouadhibou,20.931,-17.0347,25.99,50,93,9.77,MR,1683195779
14,akureyri,65.6835,-18.0878,8.96,43,0,3.09,IS,1683195779
15,albany,42.6001,-73.9662,6.95,87,100,2.14,US,1683195618
16,toyooka,35.5333,134.8333,16.86,83,100,2.56,JP,1683195781
17,hermanus,-34.4187,19.2345,19.89,70,89,1.45,ZA,1683195781
18,port elizabeth,-33.918,25.5701,24.5,73,20,10.29,ZA,1683195781
19,grytviken,-54.2811,-36.5092,3.88,97,100,4.81,GS,1683195781
20,edinburgh of the seven seas,-37.0676,-12.3116,17.56,89,83,9.38,SH,1683195782
21,blackmans bay,-43.0167,147.3167,10.07,89,8,1.6,AU,1683195782
22,morozovsk,48.3539,41.8261,21.43,37,36,4.77,RU,1683195782
23,bredasdorp,-34.5322,20.0403,17.9,61,75,3.93,ZA,1683195783
24,devils lake,48.1128,-98.8651,4.06,93,0,1.54,US,1683195670
25,enewetak,11.3474,162.3373,27.14,80,99,6.67,MH,1683195783
26,lebu,-37.6167,-73.65,10.38,90,41,6.43,CL,1683195784
27,uturoa,-16.7333,-151.4333,27.82,79,86,9.91,PF,1683195784
28,ribeira grande,38.5167,-28.7,17.22,94,75,4.47,PT,1683195784
29,vila franca do campo,37.7167,-25.4333,17.23,94,99,5.73,PT,1683195633
30,jamestown,42.097,-79.2353,6.12,91,100,3.09,US,1683195717
31,mutoko,-17.397,32.2268,24.89,34,0,1.14,ZW,1683195785
32,bezhetsk,57.7851,36.6965,10.02,49,57,5.89,RU,1683195786
33,papatowai,-46.5619,169.4708,13.68,93,67,4.04,NZ,1683195786
34,camabatela,-8.1881,15.375,24.1,66,95,2.75,AO,1683195786
35,iqaluit,63.7506,-68.5145,-3.15,92,100,4.92,CA,1683195787
36,waitangi,-43.9535,-176.5597,15.46,90,55,3.58,NZ,1683195787
37,nova sintra,14.8667,-24.7167,21.62,76,98,6.58,CV,1683195787
